 Time (a.u.) 	 Real(mu)  	 Im(mu) 	  E(t=0) (a.u.)  	 E(t) (a.u.)
 906.0000000000  -9.1951525222e-03  1.0259951284e-19  4.8883715705e-03  4.9080369090e-03  
 906.5000000000  -9.2274978143e-03  -3.5406612476e-19  4.8883715705e-03  4.9080369205e-03  
 907.0000000000  -9.2596339743e-03  -3.1184368301e-19  4.8883715705e-03  4.9080369320e-03  
 907.5000000000  -9.2915602718e-03  -7.7682926427e-19  4.8883715705e-03  4.9080369436e-03  
 908.0000000000  -9.3232759806e-03  5.4887740879e-21  4.8883715705e-03  4.9080369551e-03  
 908.5000000000  -9.3547803798e-03  1.1696305738e-19  4.8883715705e-03  4.9080369666e-03  
 909.0000000000  -9.3860727527e-03  -7.9424214874e-19  4.8883715705e-03  4.9080369782e-03  
 909.5000000000  -9.4171523876e-03  9.3186291648e-19  4.8883715705e-03  4.9080369897e-03  
 910.0000000000  -9.4480185777e-03  3.9031278145e-20  4.8883715705e-03  4.9080370012e-03  
 910.5000000000  -9.4786706208e-03  -1.3884565306e-19  4.8883715705e-03  4.9080370128e-03  
 911.0000000000  -9.5091078195e-03  2.6833950416e-19  4.8883715705e-03  4.9080370243e-03  
 911.5000000000  -9.5393294812e-03  -3.1225024177e-19  4.8883715705e-03  4.9080370358e-03  
 912.0000000000  -9.5693349182e-03  7.3732523999e-19  4.8883715705e-03  4.9080370474e-03  
 912.5000000000  -9.5991234477e-03  9.3549495704e-21  4.8883715705e-03  4.9080370589e-03  
 913.0000000000  -9.6286943917e-03  5.8064955561e-19  4.8883715705e-03  4.9080370704e-03  
 913.5000000000  -9.6580470771e-03  -1.3877787860e-19  4.8883715705e-03  4.9080370820e-03  
 914.0000000000  -9.6871808355e-03  -8.2304446592e-19  4.8883715705e-03  4.9080370935e-03  
 914.5000000000  -9.7160950037e-03  8.7413759403e-21  4.8883715705e-03  4.9080371050e-03  
 915.0000000000  -9.7447889234e-03  -1.0468517774e-19  4.8883715705e-03  4.9080371166e-03  
 915.5000000000  -9.7732619410e-03  2.7687864679e-19  4.8883715705e-03  4.9080371281e-03  
 916.0000000000  -9.8015134081e-03  -9.4061314720e-19  4.8883715705e-03  4.9080371396e-03  
 916.5000000000  -9.8295426812e-03  -1.8659795484e-18  4.8883715705e-03  4.9080371512e-03  
 917.0000000000  -9.8573491217e-03  6.9388922750e-20  4.8883715705e-03  4.9080371627e-03  
 917.5000000000  -9.8849320961e-03  -3.8977862194e-19  4.8883715705e-03  4.9080371742e-03  
 918.0000000000  -9.9122909759e-03  3.4559457098e-20  4.8883715705e-03  4.9080371858e-03  
 918.5000000000  -9.9394251377e-03  4.4560760161e-19  4.8883715705e-03  4.9080371973e-03  
 919.0000000000  -9.9663339630e-03  -3.1226306339e-19  4.8883715705e-03  4.9080372088e-03  
 919.5000000000  -9.9930168385e-03  9.9606839432e-20  4.8883715705e-03  4.9080372204e-03  
 920.0000000000  -1.0019473156e-02  -1.1329065696e-19  4.8883715705e-03  4.9080372319e-03  
 920.5000000000  -1.0045702312e-02  -4.2487158999e-19  4.8883715705e-03  4.9080372434e-03  
 921.0000000000  -1.0071703709e-02  6.9985196881e-19  4.8883715705e-03  4.9080372550e-03  
 921.5000000000  -1.0097476753e-02  -1.0463383496e-19  4.8883715705e-03  4.9080372665e-03  
 922.0000000000  -1.0123020857e-02  -4.1905261000e-19  4.8883715705e-03  4.9080372780e-03  
 922.5000000000  -1.0148335438e-02  -1.0841970453e-19  4.8883715705e-03  4.9080372896e-03  
 923.0000000000  -1.0173419919e-02  3.1665479714e-19  4.8883715705e-03  4.9080373011e-03  
 923.5000000000  -1.0198273728e-02  7.2919794238e-19  4.8883715705e-03  4.9080373126e-03  
 924.0000000000  -1.0222896296e-02  -1.7401868398e-19  4.8883715705e-03  4.9080373241e-03  
 924.5000000000  -1.0247287063e-02  -2.7686913007e-19  4.8883715705e-03  4.9080373357e-03  
 925.0000000000  -1.0271445471e-02  5.3329617914e-19  4.8883715705e-03  4.9080373472e-03  
 925.5000000000  -1.0295370969e-02  1.0469325961e-19  4.8883715705e-03  4.9080373587e-03  
 926.0000000000  -1.0319063011e-02  -2.7397280679e-19  4.8883715705e-03  4.9080373703e-03  
 926.5000000000  -1.0342521055e-02  -2.7321881538e-19  4.8883715705e-03  4.9080373818e-03  
 927.0000000000  -1.0365744567e-02  2.7220262387e-19  4.8883715705e-03  4.9080373933e-03  
 927.5000000000  -1.0388733015e-02  -6.9389362582e-19  4.8883715705e-03  4.9080374049e-03  
 928.0000000000  -1.0411485875e-02  -1.0762488308e-21  4.8883715705e-03  4.9080374164e-03  
 928.5000000000  -1.0434002626e-02  2.7646731882e-19  4.8883715705e-03  4.9080374279e-03  
 929.0000000000  -1.0456282755e-02  -2.7707719495e-19  4.8883715705e-03  4.9080374395e-03  
 929.5000000000  -1.0478325751e-02  -3.4280733215e-19  4.8883715705e-03  4.9080374510e-03  
 930.0000000000  -1.0500131112e-02  4.2067031032e-19  4.8883715705e-03  4.9080374625e-03  
 930.5000000000  -1.0521698338e-02  3.0438526014e-20  4.8883715705e-03  4.9080374741e-03  
 931.0000000000  -1.0543026937e-02  1.5124183555e-19  4.8883715705e-03  4.9080374856e-03  
 931.5000000000  -1.0564116420e-02  -3.1223685818e-19  4.8883715705e-03  4.9080374971e-03  
 932.0000000000  -1.0584966306e-02  1.6385468539e-19  4.8883715705e-03  4.9080375087e-03  
 932.5000000000  -1.0605576118e-02  -1.3898118227e-19  4.8883715705e-03  4.9080375202e-03  
 933.0000000000  -1.0625945384e-02  9.9814362496e-20  4.8883715705e-03  4.9080375317e-03  
 933.5000000000  -1.0646073638e-02  9.9738129547e-20  4.8883715705e-03  4.9080375433e-03  
 934.0000000000  -1.0665960419e-02  3.9152789775e-19  4.8883715705e-03  4.9080375548e-03  
 934.5000000000  -1.0685605272e-02  2.7694205445e-19  4.8883715705e-03  4.9080375663e-03  
 935.0000000000  -1.0705007749e-02  -4.1036668417e-19  4.8883715705e-03  4.9080375779e-03  
 935.5000000000  -1.0724167403e-02  -6.5601391511e-19  4.8883715705e-03  4.9080375894e-03  
 936.0000000000  -1.0743083797e-02  2.0328738208e-19  4.8883715705e-03  4.9080376009e-03  
 936.5000000000  -1.0761756497e-02  -2.0809918709e-19  4.8883715705e-03  4.9080376125e-03  
