!<<<<<<< HEAD
! Time (a.u.) 	 Real(mu)  	 Im(mu) 	  E(t=0) (a.u.)  	 E(t) (a.u.)
!=======
! #Time (a.u.) 	 Real(mu)  	 Im(mu) 	  E(t=0) (a.u.)  	 E(t) (a.u.)
!>>>>>>> 8efd9dd429f521cc4ae756838755d8556a6a6f48
 61.0000000000  -4.0183881787e-07  -8.1388950032e-21  8.5274026101e-04  8.3236640976e-04  
 61.5000000000  -4.1832197973e-07  -6.9931073213e-20  8.5274026101e-04  8.3236641533e-04  
 62.0000000000  -4.3533517939e-07  -7.7513010450e-20  8.5274026101e-04  8.3236642122e-04  
 62.5000000000  -4.5289073115e-07  -8.6714997985e-21  8.5274026101e-04  8.3236642742e-04  
 63.0000000000  -4.7100112080e-07  -1.3824424706e-19  8.5274026101e-04  8.3236643397e-04  
 63.5000000000  -4.8967900645e-07  1.9082173329e-19  8.5274026101e-04  8.3236644088e-04  
 64.0000000000  -5.0893721888e-07  -2.0844951434e-24  8.5274026101e-04  8.3236644816e-04  
 64.5000000000  -5.2878876180e-07  8.4705879667e-24  8.5274026101e-04  8.3236645582e-04  
 65.0000000000  -5.4924681285e-07  -8.6726644419e-20  8.5274026101e-04  8.3236646389e-04  
 65.5000000000  -5.7032472334e-07  -1.2143064358e-19  8.5274026101e-04  8.3236647239e-04  
 66.0000000000  -5.9203601937e-07  5.2041704538e-20  8.5274026101e-04  8.3236648133e-04  
 66.5000000000  -6.1439440157e-07  1.7347267849e-20  8.5274026101e-04  8.3236649073e-04  
 67.0000000000  -6.3741374596e-07  1.3987263482e-19  8.5274026101e-04  8.3236650061e-04  
 67.5000000000  -6.6110810406e-07  5.2043789033e-20  8.5274026101e-04  8.3236651100e-04  
 68.0000000000  -6.8549170299e-07  6.9388938782e-20  8.5274026101e-04  8.3236652191e-04  
 68.5000000000  -7.1057894636e-07  1.3987051775e-19  8.5274026101e-04  8.3236653337e-04  
 69.0000000000  -7.3638441408e-07  1.6263032588e-20  8.5274026101e-04  8.3236654539e-04  
 69.5000000000  -7.6292286272e-07  -1.5612511258e-19  8.5274026101e-04  8.3236655801e-04  
 70.0000000000  -7.9020922596e-07  7.0485879793e-20  8.5274026101e-04  8.3236657124e-04  
 70.5000000000  -8.1825861483e-07  5.0949032294e-20  8.5274026101e-04  8.3236658512e-04  
 71.0000000000  -8.4708631760e-07  -5.2052292191e-20  8.5274026101e-04  8.3236659966e-04  
 71.5000000000  -8.7670780023e-07  -8.5664644291e-20  8.5274026101e-04  8.3236661490e-04  
 72.0000000000  -9.0713870630e-07  -1.6254595603e-20  8.5274026101e-04  8.3236663086e-04  
 72.5000000000  -9.3839485769e-07  -4.2023370155e-24  8.5274026101e-04  8.3236664757e-04  
 73.0000000000  -9.7049225414e-07  7.0477376893e-20  8.5274026101e-04  8.3236666505e-04  
 73.5000000000  -1.0034470733e-06  -6.9380468451e-20  8.5274026101e-04  8.3236668335e-04  
 74.0000000000  -1.0372756717e-06  -1.8431403588e-20  8.5274026101e-04  8.3236670249e-04  
 74.5000000000  -1.0719945836e-06  -4.2018200281e-24  8.5274026101e-04  8.3236672249e-04  
 75.0000000000  -1.1076205222e-06  -1.3877996231e-19  8.5274026101e-04  8.3236674341e-04  
 75.5000000000  -1.1441703785e-06  1.2143911391e-19  8.5274026101e-04  8.3236676526e-04  
 76.0000000000  -1.1816612224e-06  1.7340915100e-20  8.5274026101e-04  8.3236678808e-04  
 76.5000000000  -1.2201103022e-06  6.9393174205e-20  8.5274026101e-04  8.3236681191e-04  
 77.0000000000  -1.2595350444e-06  6.7222685623e-20  8.5274026101e-04  8.3236683679e-04  
 77.5000000000  -1.2999530539e-06  -1.8431503365e-20  8.5274026101e-04  8.3236686275e-04  
 78.0000000000  -1.3413821139e-06  -1.2034223907e-19  8.5274026101e-04  8.3236688983e-04  
