 Time (a.u.) 	 Real(mu)  	 Im(mu) 	  E(t=0) (a.u.)  	 E(t) (a.u.)
 122.4000000000  -6.0080468083e-02  3.4158192049e-20  6.0221140552e-03  1.0629848842e-02  
 123.2000000000  -6.1795402582e-02  -8.6740389318e-19  6.0221140552e-03  1.0823208216e-02  
 124.0000000000  -6.3543896622e-02  -2.0828541544e-19  6.0221140552e-03  1.1022587858e-02  
 124.8000000000  -6.5326214873e-02  6.2726439704e-19  6.0221140552e-03  1.1228091506e-02  
 125.6000000000  -6.7142615656e-02  1.9371617726e-19  6.0221140552e-03  1.1439821740e-02  
 126.4000000000  -6.8993350774e-02  8.8548269242e-19  6.0221140552e-03  1.1657879862e-02  
 127.2000000000  -7.0878665352e-02  5.3762684148e-19  6.0221140552e-03  1.1882365784e-02  
 128.0000000000  -7.2798797669e-02  1.0120529899e-18  6.0221140552e-03  1.2113377912e-02  
 128.8000000000  -7.4753979003e-02  1.4308843035e-18  6.0221140552e-03  1.2351013033e-02  
 129.6000000000  -7.6744433468e-02  -7.4837060158e-19  6.0221140552e-03  1.2595366192e-02  
 130.4000000000  -7.8770377862e-02  -5.0725488698e-19  6.0221140552e-03  1.2846530585e-02  
 131.2000000000  -8.0832021516e-02  -1.8309599380e-19  6.0221140552e-03  1.3104597432e-02  
 132.0000000000  -8.2929566139e-02  1.2186112021e-18  6.0221140552e-03  1.3369655869e-02  
 132.8000000000  -8.5063205675e-02  -1.2024487991e-19  6.0221140552e-03  1.3641792829e-02  
 133.6000000000  -8.7233126157e-02  1.6771464887e-18  6.0221140552e-03  1.3921092926e-02  
 134.4000000000  -8.9439505567e-02  1.0040813051e-18  6.0221140552e-03  1.4207638340e-02  
 135.2000000000  -9.1682513699e-02  -1.6546737352e-19  6.0221140552e-03  1.4501508702e-02  
 136.0000000000  -9.3962312021e-02  1.9946206841e-19  6.0221140552e-03  1.4802780984e-02  
 136.8000000000  -9.6279053548e-02  1.0174808448e-18  6.0221140552e-03  1.5111529383e-02  
 137.6000000000  -9.8632882712e-02  -2.0602435367e-19  6.0221140552e-03  1.5427825211e-02  
 138.4000000000  -1.0102393524e-01  5.4012676713e-19  6.0221140552e-03  1.5751736786e-02  
 139.2000000000  -1.0345233803e-01  2.6471129662e-19  6.0221140552e-03  1.6083329323e-02  
 140.0000000000  -1.0591820903e-01  -1.6904998594e-19  6.0221140552e-03  1.6422664828e-02  
 140.8000000000  -1.0842165715e-01  4.7638985839e-19  6.0221140552e-03  1.6769801993e-02  
 141.6000000000  -1.1096278213e-01  -2.0465872449e-18  6.0221140552e-03  1.7124796094e-02  
 142.4000000000  -1.1354167443e-01  -2.5962418100e-18  6.0221140552e-03  1.7487698890e-02  
 143.2000000000  -1.1615841514e-01  -1.2403103466e-18  6.0221140552e-03  1.7858558525e-02  
 144.0000000000  -1.1881307591e-01  2.6713886185e-18  6.0221140552e-03  1.8237419431e-02  
 144.8000000000  -1.2150571880e-01  1.4871737335e-18  6.0221140552e-03  1.8624322239e-02  
 145.6000000000  -1.2423639625e-01  -1.6002739183e-18  6.0221140552e-03  1.9019303685e-02  
 146.4000000000  -1.2700515094e-01  -8.0359390487e-19  6.0221140552e-03  1.9422396521e-02  
 147.2000000000  -1.2981201579e-01  -1.6123608570e-18  6.0221140552e-03  1.9833629438e-02  
 148.0000000000  -1.3265701379e-01  1.9810576472e-18  6.0221140552e-03  2.0253026978e-02  
 148.8000000000  -1.3554015802e-01  -7.1056326961e-19  6.0221140552e-03  2.0680609457e-02  
 149.6000000000  -1.3846145150e-01  6.3156863886e-20  6.0221140552e-03  2.1116392895e-02  
 150.4000000000  -1.4142088722e-01  -6.6707656508e-19  6.0221140552e-03  2.1560388941e-02  
 151.2000000000  -1.4441844800e-01  7.0366309013e-19  6.0221140552e-03  2.2012604808e-02  
 152.0000000000  -1.4745410649e-01  -1.0191796976e-18  6.0221140552e-03  2.2473043207e-02  
 152.8000000000  -1.5052782511e-01  3.3323963800e-19  6.0221140552e-03  2.2941702293e-02  
 153.6000000000  -1.5363955600e-01  -3.0412887039e-18  6.0221140552e-03  2.3418575603e-02  
 154.4000000000  -1.5678924102e-01  -1.1861685261e-18  6.0221140552e-03  2.3903652012e-02  
 155.2000000000  -1.5997681164e-01  1.6306909052e-18  6.0221140552e-03  2.4396915679e-02  
 156.0000000000  -1.6320218899e-01  7.4835566290e-19  6.0221140552e-03  2.4898346009e-02  
 156.8000000000  -1.6646528382e-01  -1.8306751609e-18  6.0221140552e-03  2.5407917615e-02  
 157.6000000000  -1.6976599644e-01  -3.9831936095e-18  6.0221140552e-03  2.5925600278e-02  
 158.4000000000  -1.7310421674e-01  -1.3101565119e-18  6.0221140552e-03  2.6451358928e-02  
 159.2000000000  -1.7647982420e-01  1.3443425999e-18  6.0221140552e-03  2.6985153610e-02  
 160.0000000000  -1.7989268785e-01  5.4194721409e-19  6.0221140552e-03  2.7526939469e-02  
 160.8000000000  -1.8334266627e-01  3.1657358551e-19  6.0221140552e-03  2.8076666734e-02  
 161.6000000000  -1.8682960762e-01  -2.5314770448e-18  6.0221140552e-03  2.8634280706e-02  
 162.4000000000  -1.9035334965e-01  4.5058202431e-19  6.0221140552e-03  2.9199721753e-02  
 163.2000000000  -1.9391371968e-01  -2.9170459410e-18  6.0221140552e-03  2.9772925312e-02  
 164.0000000000  -1.9751053465e-01  3.2612714406e-18  6.0221140552e-03  3.0353821887e-02  
 164.8000000000  -2.0114360112e-01  1.3484754508e-18  6.0221140552e-03  3.0942337065e-02  
 165.6000000000  -2.0481271533e-01  2.1484673161e-18  6.0221140552e-03  3.1538391522e-02  
 166.4000000000  -2.0851766320e-01  4.6917092189e-19  6.0221140552e-03  3.2141901049e-02  
 167.2000000000  -2.1225822036e-01  7.7627221241e-19  6.0221140552e-03  3.2752776570e-02  
 168.0000000000  -2.1603415223e-01  1.2749202686e-18  6.0221140552e-03  3.3370924174e-02  
 168.8000000000  -2.1984521402e-01  -1.0689979977e-18  6.0221140552e-03  3.3996245145e-02  
 169.6000000000  -2.2369115078e-01  -1.3223772131e-19  6.0221140552e-03  3.4628636003e-02  
 170.4000000000  -2.2757169751e-01  4.7013432064e-19  6.0221140552e-03  3.5267988545e-02  
 171.2000000000  -2.3148657911e-01  -2.1607762844e-18  6.0221140552e-03  3.5914189892e-02  
 172.0000000000  -2.3543551054e-01  1.7602011009e-18  6.0221140552e-03  3.6567122544e-02  
 172.8000000000  -2.3941819681e-01  4.9951761694e-18  6.0221140552e-03  3.7226664433e-02  
 173.6000000000  -2.4343433310e-01  1.8291972906e-18  6.0221140552e-03  3.7892688990e-02  
 174.4000000000  -2.4748360477e-01  -8.1884376043e-19  6.0221140552e-03  3.8565065204e-02  
 175.2000000000  -2.5156568746e-01  4.3785637095e-18  6.0221140552e-03  3.9243657699e-02  
 176.0000000000  -2.5568024719e-01  -1.4261292853e-18  6.0221140552e-03  3.9928326804e-02  
 176.8000000000  -2.5982694039e-01  1.6900679771e-18  6.0221140552e-03  4.0618928635e-02  
 177.6000000000  -2.6400541399e-01  -6.1154148088e-18  6.0221140552e-03  4.1315315178e-02  
 178.4000000000  -2.6821530552e-01  2.4463914487e-19  6.0221140552e-03  4.2017334377e-02  
 179.2000000000  -2.7245624320e-01  -9.7297712017e-19  6.0221140552e-03  4.2724830222e-02  
 180.0000000000  -2.7672784598e-01  5.0965613854e-18  6.0221140552e-03  4.3437642850e-02  
 180.8000000000  -2.8102972368e-01  -1.0397516309e-18  6.0221140552e-03  4.4155608641e-02  
 181.6000000000  -2.8536147705e-01  -1.8005887869e-18  6.0221140552e-03  4.4878560318e-02  
 182.4000000000  -2.8972269788e-01  1.9331615732e-18  6.0221140552e-03  4.5606327063e-02  
 183.2000000000  -2.9411296907e-01  -1.8130226570e-18  6.0221140552e-03  4.6338734615e-02  
 184.0000000000  -2.9853186475e-01  -2.8991653768e-18  6.0221140552e-03  4.7075605394e-02  
 184.8000000000  -3.0297895039e-01  2.3308015093e-18  6.0221140552e-03  4.7816758610e-02  
 185.6000000000  -3.0745378283e-01  2.2115266852e-18  6.0221140552e-03  4.8562010386e-02  
 186.4000000000  -3.1195591047e-01  -5.3586079694e-21  6.0221140552e-03  4.9311173881e-02  
 187.2000000000  -3.1648487331e-01  6.8956372584e-19  6.0221140552e-03  5.0064059414e-02  
 188.0000000000  -3.2104020308e-01  -6.5104354987e-18  6.0221140552e-03  5.0820474593e-02  
 188.8000000000  -3.2562142331e-01  -3.8366418123e-18  6.0221140552e-03  5.1580224443e-02  
 189.6000000000  -3.3022804948e-01  -1.4718123901e-18  6.0221140552e-03  5.2343111544e-02  
 190.4000000000  -3.3485958909e-01  -5.0188724496e-18  6.0221140552e-03  5.3108936161e-02  
 191.2000000000  -3.3951554177e-01  -4.1721898871e-18  6.0221140552e-03  5.3877496383e-02  
 192.0000000000  -3.4419539940e-01  -2.0959454740e-18  6.0221140552e-03  5.4648588264e-02  
 192.8000000000  -3.4889864619e-01  1.0218491338e-19  6.0221140552e-03  5.5422005962e-02  
 193.6000000000  -3.5362475881e-01  -2.1491581682e-18  6.0221140552e-03  5.6197541881e-02  
 194.4000000000  -3.5837320647e-01  -3.4037372117e-19  6.0221140552e-03  5.6974986818e-02  
 195.2000000000  -3.6314345106e-01  3.3413545449e-18  6.0221140552e-03  5.7754130104e-02  
 196.0000000000  -3.6793494721e-01  -1.4298024544e-18  6.0221140552e-03  5.8534759755e-02  
 196.8000000000  -3.7274714242e-01  7.2133274503e-19  6.0221140552e-03  5.9316662616e-02  
 197.6000000000  -3.7757947718e-01  5.0735322223e-18  6.0221140552e-03  6.0099624511e-02  
 198.4000000000  -3.8243138503e-01  3.2630432781e-18  6.0221140552e-03  6.0883430393e-02  
 199.2000000000  -3.8730229269e-01  -6.5315398756e-18  6.0221140552e-03  6.1667864492e-02  
 200.0000000000  -3.9219162044e-01  -8.5624846665e-19  6.0221140552e-03  6.2452710467e-02  
 200.8000000000  -3.9707393634e-01  -3.3047787011e-19  6.0221140552e-03  6.2452759761e-02  
 201.6000000000  -4.0192351625e-01  3.0509470371e-18  6.0221140552e-03  6.2452809055e-02  
 202.4000000000  -4.0673990544e-01  -5.0218227345e-18  6.0221140552e-03  6.2452858350e-02  
 203.2000000000  -4.1152265029e-01  3.1703084810e-18  6.0221140552e-03  6.2452907644e-02  
 204.0000000000  -4.1627129844e-01  -2.4990354500e-18  6.0221140552e-03  6.2452956938e-02  
 204.8000000000  -4.2098539878e-01  -6.3099749242e-19  6.0221140552e-03  6.2453006232e-02  
 205.6000000000  -4.2566450158e-01  6.0610322512e-19  6.0221140552e-03  6.2453055527e-02  
 206.4000000000  -4.3030815848e-01  2.8975216708e-18  6.0221140552e-03  6.2453104821e-02  
 207.2000000000  -4.3491592263e-01  -1.1438713420e-18  6.0221140552e-03  6.2453154116e-02  
 208.0000000000  -4.3948734871e-01  3.0195194602e-18  6.0221140552e-03  6.2453203410e-02  
 208.8000000000  -4.4402199300e-01  -3.2622763247e-18  6.0221140552e-03  6.2453252705e-02  
 209.6000000000  -4.4851941347e-01  5.8278791171e-18  6.0221140552e-03  6.2453302000e-02  
 210.4000000000  -4.5297916983e-01  7.1082922223e-20  6.0221140552e-03  6.2453351294e-02  
 211.2000000000  -4.5740082361e-01  -3.2770013435e-18  6.0221140552e-03  6.2453400589e-02  
 212.0000000000  -4.6178393824e-01  5.2382995009e-18  6.0221140552e-03  6.2453449884e-02  
 212.8000000000  -4.6612807910e-01  -5.5564416082e-19  6.0221140552e-03  6.2453499179e-02  
 213.6000000000  -4.7043281363e-01  2.2913326401e-18  6.0221140552e-03  6.2453548474e-02  
 214.4000000000  -4.7469771136e-01  -6.1050026744e-18  6.0221140552e-03  6.2453597769e-02  
 215.2000000000  -4.7892234403e-01  -1.1835368958e-18  6.0221140552e-03  6.2453647064e-02  
 216.0000000000  -4.8310628564e-01  -6.9125485737e-19  6.0221140552e-03  6.2453696359e-02  
 216.8000000000  -4.8724911255e-01  3.3106119934e-18  6.0221140552e-03  6.2453745655e-02  
 217.6000000000  -4.9135040351e-01  -1.6142248393e-18  6.0221140552e-03  6.2453794950e-02  
 218.4000000000  -4.9540973981e-01  5.2622894611e-18  6.0221140552e-03  6.2453844245e-02  
