 Time (a.u.) 	 Real(mu)  	 Im(mu) 	  E(t=0) (a.u.)  	 E(t) (a.u.)
 325.0000000000  -1.1453726826e-02  1.3444053150e-19  4.2496152608e-03  4.2665999917e-03  
 325.5000000000  -1.1459165060e-02  5.8492657676e-19  4.2496152608e-03  4.2665999992e-03  
 326.0000000000  -1.1464406191e-02  5.4210935794e-22  4.2496152608e-03  4.2666000067e-03  
 326.5000000000  -1.1469450127e-02  -9.6657898363e-19  4.2496152608e-03  4.2666000143e-03  
 327.0000000000  -1.1474296779e-02  -2.9341750453e-20  4.2496152608e-03  4.2666000218e-03  
 327.5000000000  -1.1478946063e-02  -3.1651901530e-19  4.2496152608e-03  4.2666000293e-03  
 328.0000000000  -1.1483397895e-02  1.6900795457e-19  4.2496152608e-03  4.2666000368e-03  
 328.5000000000  -1.1487652197e-02  -4.2446568018e-19  4.2496152608e-03  4.2666000443e-03  
 329.0000000000  -1.1491708894e-02  1.7401511143e-19  4.2496152608e-03  4.2666000519e-03  
 329.5000000000  -1.1495567915e-02  -2.7822479742e-19  4.2496152608e-03  4.2666000594e-03  
 330.0000000000  -1.1499229190e-02  -4.5658095066e-19  4.2496152608e-03  4.2666000669e-03  
 330.5000000000  -1.1502692655e-02  -1.0841599811e-19  4.2496152608e-03  4.2666000744e-03  
 331.0000000000  -1.1505958249e-02  6.9922544463e-20  4.2496152608e-03  4.2666000819e-03  
 331.5000000000  -1.1509025912e-02  5.1711712994e-25  4.2496152608e-03  4.2666000895e-03  
 332.0000000000  -1.1511895591e-02  -5.4210109917e-21  4.2496152608e-03  4.2666000970e-03  
 332.5000000000  -1.1514567234e-02  -3.6618287931e-21  4.2496152608e-03  4.2666001045e-03  
 333.0000000000  -1.1517040792e-02  5.2904845691e-19  4.2496152608e-03  4.2666001120e-03  
 333.5000000000  -1.1519316223e-02  -1.0350570535e-19  4.2496152608e-03  4.2666001195e-03  
 334.0000000000  -1.1521393483e-02  3.6266562644e-19  4.2496152608e-03  4.2666001271e-03  
 334.5000000000  -1.1523272537e-02  2.2115129466e-19  4.2496152608e-03  4.2666001346e-03  
 335.0000000000  -1.1524953349e-02  2.0924888917e-19  4.2496152608e-03  4.2666001421e-03  
 335.5000000000  -1.1526435888e-02  1.6331006982e-19  4.2496152608e-03  4.2666001496e-03  
 336.0000000000  -1.1527720128e-02  -5.3017506087e-19  4.2496152608e-03  4.2666001571e-03  
 336.5000000000  -1.1528806043e-02  -2.4181063491e-19  4.2496152608e-03  4.2666001647e-03  
 337.0000000000  -1.1529693614e-02  3.5552493632e-19  4.2496152608e-03  4.2666001722e-03  
 337.5000000000  -1.1530382824e-02  -1.2576719151e-19  4.2496152608e-03  4.2666001797e-03  
 338.0000000000  -1.1530873658e-02  8.9990897883e-20  4.2496152608e-03  4.2666001872e-03  
 338.5000000000  -1.1531166106e-02  -4.1741810319e-19  4.2496152608e-03  4.2666001947e-03  
 339.0000000000  -1.1531260161e-02  -2.6509044261e-19  4.2496152608e-03  4.2666002023e-03  
 339.5000000000  -1.1531155820e-02  -1.3912000050e-19  4.2496152608e-03  4.2666002098e-03  
 340.0000000000  -1.1530853083e-02  2.2097501410e-19  4.2496152608e-03  4.2666002173e-03  
 340.5000000000  -1.1530351953e-02  4.1080568546e-19  4.2496152608e-03  4.2666002248e-03  
 341.0000000000  -1.1529652437e-02  -6.9665267578e-20  4.2496152608e-03  4.2666002323e-03  
 341.5000000000  -1.1528754545e-02  -2.7647261278e-19  4.2496152608e-03  4.2666002399e-03  
 342.0000000000  -1.1527658291e-02  -2.7640279459e-19  4.2496152608e-03  4.2666002474e-03  
 342.5000000000  -1.1526363691e-02  -2.2551822035e-19  4.2496152608e-03  4.2666002549e-03  
 343.0000000000  -1.1524870767e-02  2.4563867582e-21  4.2496152608e-03  4.2666002624e-03  
 343.5000000000  -1.1523179541e-02  1.3877785468e-19  4.2496152608e-03  4.2666002699e-03  
 344.0000000000  -1.1521290042e-02  -3.1116603125e-19  4.2496152608e-03  4.2666002775e-03  
 344.5000000000  -1.1519202301e-02  1.9969648764e-19  4.2496152608e-03  4.2666002850e-03  
 345.0000000000  -1.1516916350e-02  6.9452565739e-20  4.2496152608e-03  4.2666002925e-03  
 345.5000000000  -1.1514432228e-02  2.0604927937e-19  4.2496152608e-03  4.2666003000e-03  
 346.0000000000  -1.1511749977e-02  -9.5672321761e-20  4.2496152608e-03  4.2666003075e-03  
